variable,year,count
전체순번,1681,22089
年度,1681,1
面名,1681,10
면명,1681,10
順番,1681,5046
里順,1681,8
里名,1681,47
리명,1681,47
統,1681,39
統首,1681,767
통수,1681,765
戶,1681,9
主戶,1681,3442
주호,1681,3308
新戶,1681,2
신호,1681,2
代戶,1681,173
대호,1681,173
戶內位相,1681,220
호내위상,1681,237
職役,1681,1652
직역,1681,1621
姓,1681,92
성,1681,75
名,1681,8146
명,1681,6190
改名,1681,88
개명,1681,87
年齡,1681,102
干支,1681,72
간지,1681,71
出入,1681,670
출입,1681,674
場所,1681,734
장소,1681,717
本,1681,4
본,1681,4
本貫,1681,268
본관,1681,243
主居,1681,176
주거,1681,170
主職役,1681,81
주직역,1681,81
主姓名,1681,1711
주성명,1681,1617
父職役,1681,420
부직역,1681,412
父名,1681,4531
부명,1681,3785
生父職役,1681,10
생부직역,1681,10
生父名,1681,11
생부명,1681,11
母職役,1681,48
모직역,1681,47
母名,1681,1884
모명,1681,1561
所生,1681,19
祖職役,1681,478
조직역,1681,457
祖名,1681,3564
조명,1681,2936
曾祖職役,1681,492
증조직역,1681,480
曾祖名,1681,3653
증조명,1681,2941
外祖職役,1681,363
외조직역,1681,361
外祖名,1681,4832
외조명,1681,4425
外本,1681,286
외본,1681,257
備考,1681,523
전체순번,1684,30291
年度,1684,1
面名,1684,15
면명,1684,15
順番,1684,5056
里順,1684,16
里名,1684,80
리명,1684,80
統,1684,42
統首,1684,1036
통수,1684,1030
戶,1684,8
主戶,1684,4452
주호,1684,4250
新戶,1684,2
신호,1684,2
代戶,1684,244
대호,1684,244
戶內位相,1684,275
호내위상,1684,303
職役,1684,2924
직역,1684,2855
姓,1684,102
성,1684,82
名,1684,10370
명,1684,7550
改名,1684,174
개명,1684,173
年齡,1684,118
干支,1684,101
간지,1684,104
出入,1684,904
출입,1684,916
場所,1684,1024
장소,1684,998
本,1684,4
본,1684,4
本貫,1684,299
본관,1684,277
主居,1684,214
주거,1684,201
主職役,1684,112
주직역,1684,112
主姓名,1684,2222
주성명,1684,2062
父職役,1684,560
부직역,1684,523
父名,1684,5900
부명,1684,4754
生父職役,1684,17
생부직역,1684,17
生父名,1684,24
생부명,1684,24
母職役,1684,83
모직역,1684,80
母名,1684,2445
모명,1684,1956
所生,1684,20
祖職役,1684,609
조직역,1684,581
祖名,1684,4525
조명,1684,3559
曾祖職役,1684,688
증조직역,1684,639
曾祖名,1684,4560
증조명,1684,3529
外祖職役,1684,513
외조직역,1684,499
外祖名,1684,6403
외조명,1684,5743
外本,1684,332
외본,1684,298
備考,1684,819
전체순번,1687,17731
年度,1687,1
面名,1687,10
면명,1687,10
順番,1687,3634
里順,1687,25
里名,1687,74
리명,1687,75
統,1687,56
統首,1687,678
통수,1687,677
戶,1687,8
主戶,1687,3124
주호,1687,3033
新戶,1687,4
신호,1687,4
代戶,1687,120
대호,1687,120
戶內位相,1687,192
호내위상,1687,208
職役,1687,1344
직역,1687,1302
姓,1687,92
성,1687,72
名,1687,6542
명,1687,5033
改名,1687,63
개명,1687,63
年齡,1687,112
干支,1687,77
간지,1687,77
出入,1687,381
출입,1687,384
場所,1687,495
장소,1687,486
本,1687,4
본,1687,4
本貫,1687,223
본관,1687,203
主居,1687,165
주거,1687,154
主職役,1687,96
주직역,1687,96
主姓名,1687,1272
주성명,1687,1204
父職役,1687,346
부직역,1687,334
父名,1687,3835
부명,1687,3111
生父職役,1687,11
생부직역,1687,11
生父名,1687,11
생부명,1687,11
母職役,1687,34
모직역,1687,31
母名,1687,1450
모명,1687,1280
所生,1687,12
祖職役,1687,348
조직역,1687,337
祖名,1687,3129
조명,1687,2520
曾祖職役,1687,410
증조직역,1687,393
曾祖名,1687,3185
증조명,1687,2564
外祖職役,1687,334
외조직역,1687,330
外祖名,1687,4480
외조명,1687,4047
外本,1687,243
외본,1687,223
備考,1687,585
전체순번,1690,37085
年度,1690,1
面名,1690,18
면명,1690,18
順番,1690,4520
里順,1690,16
里名,1690,104
리명,1690,104
統,1690,57
統首,1690,1221
통수,1690,1211
戶,1690,9
主戶,1690,5390
주호,1690,5146
新戶,1690,2
신호,1690,2
代戶,1690,300
대호,1690,300
戶內位相,1690,291
호내위상,1690,311
職役,1690,2855
직역,1690,2785
姓,1690,111
성,1690,89
名,1690,11701
명,1690,8328
改名,1690,163
개명,1690,159
年齡,1690,117
干支,1690,78
간지,1690,79
出入,1690,900
출입,1690,932
場所,1690,1143
장소,1690,1103
本,1690,5
본,1690,4
本貫,1690,304
본관,1690,273
主居,1690,204
주거,1690,189
主職役,1690,83
주직역,1690,83
主姓名,1690,2303
주성명,1690,2106
父職役,1690,566
부직역,1690,524
父名,1690,6769
부명,1690,5290
生父職役,1690,15
생부직역,1690,15
生父名,1690,22
생부명,1690,22
母職役,1690,78
모직역,1690,70
母名,1690,2602
모명,1690,2067
所生,1690,17
祖職役,1690,654
조직역,1690,608
祖名,1690,5195
조명,1690,3967
曾祖職役,1690,738
증조직역,1690,684
曾祖名,1690,5270
증조명,1690,4022
外祖職役,1690,533
외조직역,1690,523
外祖名,1690,7705
외조명,1690,6931
外本,1690,342
외본,1690,302
備考,1690,749
전체순번,1696,20050
年度,1696,1
面名,1696,8
면명,1696,8
順番,1696,4752
里順,1696,18
里名,1696,65
리명,1696,65
統,1696,37
統首,1696,584
통수,1696,582
戶,1696,10
主戶,1696,2739
주호,1696,2678
新戶,1696,2
신호,1696,2
代戶,1696,223
대호,1696,223
戶內位相,1696,276
호내위상,1696,289
職役,1696,1811
직역,1696,1769
姓,1696,95
성,1696,78
名,1696,7750
명,1696,6016
改名,1696,128
개명,1696,127
年齡,1696,106
干支,1696,73
간지,1696,73
出入,1696,577
출입,1696,630
場所,1696,779
장소,1696,754
本,1696,4
본,1696,3
本貫,1696,219
본관,1696,204
主居,1696,123
주거,1696,116
主職役,1696,42
주직역,1696,42
主姓名,1696,937
주성명,1696,893
父職役,1696,379
부직역,1696,349
父名,1696,4022
부명,1696,3349
生父職役,1696,14
생부직역,1696,14
生父名,1696,18
생부명,1696,18
母職役,1696,69
모직역,1696,65
母名,1696,1668
모명,1696,1385
所生,1696,12
祖職役,1696,394
조직역,1696,365
祖名,1696,2999
조명,1696,2415
曾祖職役,1696,479
증조직역,1696,446
曾祖名,1696,3022
증조명,1696,2465
外祖職役,1696,356
외조직역,1696,346
外祖名,1696,4064
외조명,1696,3715
外本,1696,264
외본,1696,230
備考,1696,309
전체순번,1702,12700
年度,1702,1
面名,1702,5
면명,1702,5
順番,1702,4857
里順,1702,27
里名,1702,55
리명,1702,55
統,1702,24
統首,1702,455
통수,1702,454
戶,1702,10
主戶,1702,2162
주호,1702,2131
新戶,1702,3
신호,1702,3
代戶,1702,125
대호,1702,125
戶內位相,1702,185
호내위상,1702,195
職役,1702,1134
직역,1702,1107
姓,1702,89
성,1702,74
名,1702,4784
명,1702,3961
改名,1702,30
개명,1702,30
年齡,1702,109
干支,1702,69
간지,1702,69
出入,1702,230
출입,1702,232
場所,1702,344
장소,1702,339
本,1702,3
본,1702,3
本貫,1702,173
본관,1702,166
主居,1702,108
주거,1702,102
主職役,1702,51
주직역,1702,51
主姓名,1702,615
주성명,1702,594
父職役,1702,280
부직역,1702,266
父名,1702,2724
부명,1702,2311
生父職役,1702,7
생부직역,1702,7
生父名,1702,9
생부명,1702,9
母職役,1702,19
모직역,1702,18
母名,1702,865
모명,1702,813
所生,1702,10
祖職役,1702,308
조직역,1702,299
祖名,1702,2234
조명,1702,1893
曾祖職役,1702,373
증조직역,1702,364
曾祖名,1702,2357
증조명,1702,1959
外祖職役,1702,265
외조직역,1702,259
外祖名,1702,3201
외조명,1702,2967
外本,1702,175
외본,1702,164
備考,1702,248
전체순번,1705,35415
年度,1705,1
面名,1705,15
면명,1705,15
順番,1705,5739
里順,1705,20
里名,1705,88
리명,1705,88
統,1705,64
統首,1705,1058
통수,1705,1053
戶,1705,8
主戶,1705,4767
주호,1705,4606
新戶,1705,2
신호,1705,2
代戶,1705,303
대호,1705,303
戶內位相,1705,349
호내위상,1705,348
職役,1705,2565
직역,1705,2496
姓,1705,106
성,1705,84
名,1705,11154
명,1705,8104
改名,1705,184
개명,1705,181
年齡,1705,122
干支,1705,88
간지,1705,91
出入,1705,720
출입,1705,741
場所,1705,1065
장소,1705,1030
本,1705,4
본,1705,4
本貫,1705,286
본관,1705,253
主居,1705,165
주거,1705,156
主職役,1705,60
주직역,1705,60
主姓名,1705,1740
주성명,1705,1618
父職役,1705,487
부직역,1705,460
父名,1705,6128
부명,1705,4779
生父職役,1705,16
생부직역,1705,16
生父名,1705,26
생부명,1705,26
母職役,1705,69
모직역,1705,65
母名,1705,2347
모명,1705,1915
所生,1705,17
祖職役,1705,626
조직역,1705,588
祖名,1705,4801
조명,1705,3648
曾祖職役,1705,741
증조직역,1705,708
曾祖名,1705,4718
증조명,1705,3609
外祖職役,1705,509
외조직역,1705,495
外祖名,1705,7055
외조명,1705,6333
外本,1705,335
외본,1705,296
備考,1705,724
전체순번,1708,20359
年度,1708,1
面名,1708,9
면명,1708,9
順番,1708,6093
里順,1708,10
里名,1708,37
리명,1708,37
統,1708,67
統首,1708,599
통수,1708,599
戶,1708,8
主戶,1708,2822
주호,1708,2765
新戶,1708,2
신호,1708,2
代戶,1708,252
대호,1708,252
戶內位相,1708,298
호내위상,1708,321
職役,1708,1693
직역,1708,1660
姓,1708,103
성,1708,80
名,1708,7313
명,1708,5792
改名,1708,108
개명,1708,108
年齡,1708,119
干支,1708,83
간지,1708,83
出入,1708,474
출입,1708,496
場所,1708,624
장소,1708,604
本,1708,4
본,1708,4
本貫,1708,221
본관,1708,212
主居,1708,131
주거,1708,125
主職役,1708,41
주직역,1708,41
主姓名,1708,973
주성명,1708,932
父職役,1708,325
부직역,1708,303
父名,1708,4085
부명,1708,3356
生父職役,1708,14
생부직역,1708,14
生父名,1708,20
생부명,1708,20
母職役,1708,43
모직역,1708,43
母名,1708,1393
모명,1708,1269
所生,1708,17
祖職役,1708,347
조직역,1708,328
祖名,1708,3123
조명,1708,2488
曾祖職役,1708,422
증조직역,1708,391
曾祖名,1708,3102
증조명,1708,2467
外祖職役,1708,312
외조직역,1708,306
外祖名,1708,4306
외조명,1708,3965
外本,1708,264
외본,1708,239
備考,1708,415
전체순번,1711,24042
年度,1711,1
面名,1711,8
면명,1711,8
順番,1711,5814
里順,1711,27
里名,1711,73
리명,1711,73
統,1711,29
統首,1711,763
통수,1711,757
戶,1711,9
主戶,1711,3502
주호,1711,3393
新戶,1711,13
신호,1711,13
代戶,1711,263
대호,1711,263
戶內位相,1711,271
호내위상,1711,276
職役,1711,1894
직역,1711,1840
姓,1711,103
성,1711,82
名,1711,8031
명,1711,6162
改名,1711,98
개명,1711,97
年齡,1711,126
干支,1711,92
간지,1711,93
出入,1711,485
출입,1711,500
場所,1711,630
장소,1711,601
本,1711,4
본,1711,4
本貫,1711,219
본관,1711,205
主居,1711,125
주거,1711,121
主職役,1711,39
주직역,1711,39
主姓名,1711,1135
주성명,1711,1056
父職役,1711,322
부직역,1711,301
父名,1711,4797
부명,1711,3851
生父職役,1711,14
생부직역,1711,14
生父名,1711,19
생부명,1711,19
母職役,1711,45
모직역,1711,43
母名,1711,1723
모명,1711,1479
所生,1711,16
祖職役,1711,404
조직역,1711,378
祖名,1711,3622
조명,1711,2826
曾祖職役,1711,521
증조직역,1711,491
曾祖名,1711,3674
증조명,1711,2890
外祖職役,1711,345
외조직역,1711,339
外祖名,1711,5305
외조명,1711,4797
外本,1711,260
외본,1711,234
備考,1711,480
전체순번,1714,44600
年度,1714,1
面名,1714,17
면명,1714,17
順番,1714,6462
里順,1714,10
里名,1714,91
리명,1714,91
統,1714,41
統首,1714,1250
통수,1714,1236
戶,1714,9
主戶,1714,5666
주호,1714,5437
新戶,1714,2
신호,1714,2
代戶,1714,392
대호,1714,392
戶內位相,1714,414
호내위상,1714,427
職役,1714,2859
직역,1714,2785
姓,1714,112
성,1714,89
名,1714,12811
명,1714,9112
改名,1714,342
개명,1714,337
年齡,1714,129
干支,1714,89
간지,1714,90
出入,1714,853
출입,1714,870
場所,1714,1202
장소,1714,1154
本,1714,4
본,1714,4
本貫,1714,273
본관,1714,250
主居,1714,145
주거,1714,141
主職役,1714,35
주직역,1714,35
主姓名,1714,1853
주성명,1714,1733
父職役,1714,462
부직역,1714,437
父名,1714,7587
부명,1714,5773
生父職役,1714,31
생부직역,1714,31
生父名,1714,50
생부명,1714,49
母職役,1714,51
모직역,1714,49
母名,1714,2597
모명,1714,2109
所生,1714,17
祖職役,1714,594
조직역,1714,552
祖名,1714,5538
조명,1714,4053
曾祖職役,1714,771
증조직역,1714,716
曾祖名,1714,5462
증조명,1714,4016
外祖職役,1714,509
외조직역,1714,487
外祖名,1714,8429
외조명,1714,7497
外本,1714,318
외본,1714,290
備考,1714,729
전체순번,1717,28858
年度,1717,1
面名,1717,12
면명,1717,12
順番,1717,6721
里順,1717,11
里名,1717,54
리명,1717,54
統,1717,42
統首,1717,764
통수,1717,760
戶,1717,9
主戶,1717,3415
주호,1717,3340
新戶,1717,2
신호,1717,2
代戶,1717,332
대호,1717,332
戶內位相,1717,350
호내위상,1717,365
職役,1717,2067
직역,1717,2021
姓,1717,103
성,1717,81
名,1717,9201
명,1717,7100
改名,1717,186
개명,1717,184
年齡,1717,127
干支,1717,96
간지,1717,98
出入,1717,583
출입,1717,595
場所,1717,742
장소,1717,702
本,1717,4
본,1717,5
本貫,1717,269
본관,1717,248
主居,1717,109
주거,1717,108
主職役,1717,29
주직역,1717,29
主姓名,1717,1117
주성명,1717,1074
父職役,1717,381
부직역,1717,362
父名,1717,5217
부명,1717,4196
生父職役,1717,19
생부직역,1717,19
生父名,1717,31
생부명,1717,31
母職役,1717,51
모직역,1717,53
母名,1717,1787
모명,1717,1522
所生,1717,18
祖職役,1717,518
조직역,1717,487
祖名,1717,3944
조명,1717,3067
曾祖職役,1717,633
증조직역,1717,597
曾祖名,1717,3929
증조명,1717,3111
外祖職役,1717,409
외조직역,1717,392
外祖名,1717,5651
외조명,1717,5188
外本,1717,279
외본,1717,257
備考,1717,775
전체순번,1720,41027
年度,1720,1
面名,1720,13
면명,1720,13
順番,1720,6266
里順,1720,25
里名,1720,113
리명,1720,112
統,1720,76
統首,1720,1244
통수,1720,1231
戶,1720,8
主戶,1720,5555
주호,1720,5398
新戶,1720,3
신호,1720,3
代戶,1720,472
대호,1720,472
戶內位相,1720,403
호내위상,1720,406
職役,1720,2718
직역,1720,2626
姓,1720,112
성,1720,87
名,1720,11223
명,1720,8367
改名,1720,212
개명,1720,210
年齡,1720,124
干支,1720,101
간지,1720,103
出入,1720,681
출입,1720,691
場所,1720,966
장소,1720,944
本,1720,4
본,1720,4
本貫,1720,303
본관,1720,273
主居,1720,149
주거,1720,145
主職役,1720,62
주직역,1720,63
主姓名,1720,1409
주성명,1720,1339
父職役,1720,403
부직역,1720,380
父名,1720,6711
부명,1720,5115
生父職役,1720,13
생부직역,1720,13
生父名,1720,33
생부명,1720,33
母職役,1720,64
모직역,1720,60
母名,1720,1883
모명,1720,1640
所生,1720,14
祖職役,1720,476
조직역,1720,444
祖名,1720,5434
조명,1720,4002
曾祖職役,1720,648
증조직역,1720,622
曾祖名,1720,5407
증조명,1720,4030
外祖職役,1720,449
외조직역,1720,435
外祖名,1720,8464
외조명,1720,7578
外本,1720,327
외본,1720,297
備考,1720,886
전체순번,1723,28339
年度,1723,1
面名,1723,8
면명,1723,8
順番,1723,6758
里順,1723,25
里名,1723,71
리명,1723,71
統,1723,34
統首,1723,877
통수,1723,872
戶,1723,9
主戶,1723,4012
주호,1723,3895
新戶,1723,3
신호,1723,3
代戶,1723,276
대호,1723,276
戶內位相,1723,315
호내위상,1723,330
職役,1723,2302
직역,1723,2245
姓,1723,108
성,1723,87
名,1723,8818
명,1723,6802
改名,1723,129
개명,1723,126
年齡,1723,125
干支,1723,91
간지,1723,91
出入,1723,444
출입,1723,449
場所,1723,679
장소,1723,649
本,1723,4
본,1723,4
本貫,1723,256
본관,1723,241
主居,1723,107
주거,1723,107
主職役,1723,40
주직역,1723,40
主姓名,1723,1073
주성명,1723,1018
父職役,1723,339
부직역,1723,321
父名,1723,5192
부명,1723,4161
生父職役,1723,17
생부직역,1723,17
生父名,1723,31
생부명,1723,31
母職役,1723,46
모직역,1723,47
母名,1723,1538
모명,1723,1356
所生,1723,16
祖職役,1723,406
조직역,1723,372
祖名,1723,4127
조명,1723,3206
曾祖職役,1723,547
증조직역,1723,506
曾祖名,1723,4142
증조명,1723,3199
外祖職役,1723,347
외조직역,1723,329
外祖名,1723,6188
외조명,1723,5652
外本,1723,272
외본,1723,247
備考,1723,602
전체순번,1726,37275
年度,1726,1
面名,1726,15
면명,1726,15
順番,1726,7044
里順,1726,10
里名,1726,72
리명,1726,71
統,1726,77
統首,1726,1060
통수,1726,1053
戶,1726,8
主戶,1726,4730
주호,1726,4554
新戶,1726,2
신호,1726,2
代戶,1726,409
대호,1726,409
戶內位相,1726,351
호내위상,1726,362
職役,1726,2105
직역,1726,2060
姓,1726,106
성,1726,86
名,1726,11174
명,1726,8347
改名,1726,101
개명,1726,99
年齡,1726,137
干支,1726,94
간지,1726,96
出入,1726,583
출입,1726,598
場所,1726,730
장소,1726,679
本,1726,4
본,1726,4
本貫,1726,296
본관,1726,262
主居,1726,133
주거,1726,127
主職役,1726,39
주직역,1726,39
主姓名,1726,1481
주성명,1726,1385
父職役,1726,364
부직역,1726,343
父名,1726,6311
부명,1726,4926
生父職役,1726,15
생부직역,1726,15
生父名,1726,36
생부명,1726,36
母職役,1726,66
모직역,1726,65
母名,1726,2031
모명,1726,1737
所生,1726,14
祖職役,1726,457
조직역,1726,427
祖名,1726,4969
조명,1726,3732
曾祖職役,1726,587
증조직역,1726,549
曾祖名,1726,4844
증조명,1726,3613
外祖職役,1726,426
외조직역,1726,419
外祖名,1726,7191
외조명,1726,6468
外本,1726,315
외본,1726,281
備考,1726,645
전체순번,1729,38636
年度,1729,1
面名,1729,18
면명,1729,18
順番,1729,6766
里順,1729,11
里名,1729,73
리명,1729,72
統,1729,75
統首,1729,1097
통수,1729,1088
戶,1729,9
主戶,1729,4856
주호,1729,4690
新戶,1729,2
신호,1729,2
代戶,1729,303
대호,1729,303
戶內位相,1729,376
호내위상,1729,390
職役,1729,1978
직역,1729,1934
姓,1729,111
성,1729,87
名,1729,11113
명,1729,8327
改名,1729,234
개명,1729,231
年齡,1729,116
干支,1729,81
간지,1729,81
出入,1729,508
출입,1729,497
場所,1729,674
장소,1729,634
本,1729,4
본,1729,4
本貫,1729,278
본관,1729,252
主居,1729,116
주거,1729,113
主職役,1729,31
주직역,1729,31
主姓名,1729,1345
주성명,1729,1266
父職役,1729,339
부직역,1729,320
父名,1729,6510
부명,1729,4992
生父職役,1729,18
생부직역,1729,18
生父名,1729,50
생부명,1729,50
母職役,1729,49
모직역,1729,46
母名,1729,1992
모명,1729,1725
所生,1729,15
祖職役,1729,454
조직역,1729,422
祖名,1729,5103
조명,1729,3757
曾祖職役,1729,578
증조직역,1729,542
曾祖名,1729,4883
증조명,1729,3625
外祖職役,1729,402
외조직역,1729,391
外祖名,1729,7524
외조명,1729,6721
外本,1729,316
외본,1729,289
備考,1729,593
전체순번,1732,43866
年度,1732,1
面名,1732,16
면명,1732,16
順番,1732,7394
里順,1732,20
里名,1732,92
리명,1732,92
統,1732,46
統首,1732,1258
통수,1732,1247
戶,1732,10
主戶,1732,5491
주호,1732,5291
新戶,1732,2
신호,1732,2
代戶,1732,441
대호,1732,440
戶內位相,1732,374
호내위상,1732,390
職役,1732,2475
직역,1732,2412
姓,1732,115
